category,period,n_transactions,n_suppliers,total_spend,spend_share_within_period_pct,anomaly_rate_pct,new_supplier_rate_pct,hhi
Miscellaneous Expenditure,pre_covid,3,3,272347.76,0.001,0.0,0.0,3869.8
NETWORK HARD/W,pre_covid,2,2,107905.67,0.0,0.0,50.0,5440.1
NETWORK SOFT/W,covid,1,1,146160.0,0.0,0.0,100.0,10000.0
NETWORK SOFT/W,pre_covid,1,1,39443.6,0.0,0.0,0.0,10000.0
NHS England Running Costs,post_covid,2,1,60367.869999999995,0.0,0.0,0.0,10000.0
NHS Local Debtors Adj,covid,1,1,6365.0,0.0,0.0,0.0,10000.0
NI EES,covid,2,1,159359.78999999998,0.0,0.0,0.0,10000.0
NI EES,pre_covid,8,1,495853.17000000004,0.002,0.0,0.0,10000.0
NI ERS,covid,2,1,471556.85,0.001,0.0,0.0,10000.0
NI ERS,pre_covid,8,1,1616526.78,0.006,0.0,0.0,10000.0
NURSE MANAGER BAND 8D,covid,1,1,95619.28,0.0,0.0,100.0,10000.0
National Insurance - Curr,post_covid,1,1,3763595.44,0.004,100.0,100.0,10000.0
Non NHS Capitl Pybls Curr,covid,1,1,482464.0,0.001,0.0,0.0,10000.0
Non NHS Capitl Pybls Curr,pre_covid,1,1,350883.0,0.001,0.0,0.0,10000.0
NonNHS Trade Pybls Curr,covid,182,11,11734943.16,0.019,0.0,0.0,8502.6
NonNHS Trade Pybls Curr,post_covid,6,1,1106121.48,0.001,0.0,0.0,10000.0
NonNHS Trade Pybls Curr,pre_covid,357,17,20948441.16,0.077,0.0,0.84,1504.2
NonRes Bldg Additions,covid,154,33,23768340.169999998,0.039,2.597,14.935,4187.3
NonRes Bldg Additions,post_covid,4,1,1152277.99,0.001,0.0,0.0,10000.0
NonRes Bldg Additions,pre_covid,31,17,1917528.14,0.007,3.226,22.581,2068.6
Nurse Band 8A,pre_covid,1,1,36896.15,0.0,0.0,0.0,10000.0
Nurse band 5,covid,1,1,6554.98,0.0,0.0,0.0,10000.0
Nurse band 5,pre_covid,1,1,6555.0,0.0,0.0,0.0,10000.0
OCCUPANCY GUARANTEE,covid,2,1,59109.96000000001,0.0,0.0,0.0,10000.0
