node,node_type,degree,degree_centrality,betweenness_centrality,weighted_degree_n_transactions,total_amount,is_multi_trust_supplier,is_high_volume_supplier,is_hub_supplier
IRON MOUNTAIN UK,supplier,2,0.0003780718336483932,0.0,19,901367.23,True,False,True
JA RICHARDSON ELECTRICAL,supplier,1,0.0001890359168241966,0.0,8,789338.22,False,False,False
JANSSEN CILAG,supplier,1,0.0001890359168241966,0.0,13,374846.95,False,False,False
JCP CONSULTING ENGINEERS,supplier,2,0.0003780718336483932,3.6866030356817526e-05,5,328686.33999999997,True,False,True
JTB CORP,supplier,1,0.0001890359168241966,0.0,2,1895.8988,False,False,False
KAINOS EVOLVE,supplier,1,0.0001890359168241966,0.0,17,616355.05,False,False,False
KONICA MINOLTA BUSINESS SOLUTIONS UK,supplier,1,0.0001890359168241966,0.0,3,213065.62,False,False,False
LABLOGIC SYSTEMS,supplier,1,0.0001890359168241966,0.0,2,42678.96000000001,False,False,False
LAERDAL MEDICAL,supplier,1,0.0001890359168241966,0.0,19,165576.66,False,False,False
LEEDS & YORK PARTNERSHIP NHS FOUNDATION TRUST,supplier,2,0.0003780718336483932,0.0,468,248378208.69,True,True,True
LEEDS TEACHING HOSPITALS NHS TRUST,supplier,2,0.0003780718336483932,0.0,1508,4530280443.36,True,True,True
LEGRAND ASSISTED LIVING & HEALTHCARE,supplier,1,0.0001890359168241966,0.0,2,38584.22,False,False,False
LLOYDS PHARMACY CLINICAL HOMECARE,supplier,1,0.0001890359168241966,0.0,152,7913357.42,False,False,False
LOWER GRANGE COMMUNITY ASSOCIATION,supplier,1,0.0001890359168241966,0.0,3,75000.0,False,False,False
LYNTON TRAILERS UK,supplier,1,0.0001890359168241966,0.0,9,922452.92,False,False,False
MACHENAIR,supplier,1,0.0001890359168241966,0.0,3,111335.01000000001,False,False,False
MAGPIE,supplier,1,0.0001890359168241966,0.0,7,209858.15,False,False,False
MAINTEL EUROPE,supplier,3,0.0005671077504725899,0.00010587743273130491,22,1056713.42,True,False,True
MBI HEALTH CONSULTING,supplier,1,0.0001890359168241966,0.0,3,167470.0,False,False,False
MED EL UK,supplier,1,0.0001890359168241966,0.0,4,169097.5,False,False,False
MEDICAL IMAGING SYSTEMS,supplier,1,0.0001890359168241966,0.0,19,1647332.4,False,False,False
MEDICAL PIPED GASES,supplier,1,0.0001890359168241966,0.0,5,142120.2,False,False,False
MEDILINK CONSULTING,supplier,1,0.0001890359168241966,0.0,43,57340.7,False,False,False
MEDINET CLINICAL SERVICES,supplier,1,0.0001890359168241966,0.0,13,401480.0,False,False,False
MEDIREST,supplier,1,0.0001890359168241966,0.0,4,112857.88,False,False,False
MEDISOFT,supplier,1,0.0001890359168241966,0.0,3,51430.87,False,False,False
MEDRAY UK,supplier,1,0.0001890359168241966,0.0,3,72000.0,False,False,False
MEDTRONIC,supplier,2,0.0003780718336483932,3.682916432646071e-05,88,2437075.28,True,False,True
MID YORKSHIRE HOSPITALS NHS TRUST,supplier,2,0.0003780718336483932,0.0,729,503572043.95,True,True,True
MIND THE GAP,supplier,1,0.0001890359168241966,0.0,3,186128.0,False,False,False
MINDRAY UK,supplier,2,0.0003780718336483932,3.6866030356817526e-05,9,583531.1,True,False,True
MINISTRY OF JUSTICE,supplier,3,0.0005671077504725899,2.209086340760495e-05,71,4517560.2299999995,True,False,True
