supplier,total_transactions,total_spend,mean_transaction_amount,ml_anomaly_rate,mean_ml_anomaly_score,rule_flag_rate,is_network_hub,composite_risk_score,risk_tier,community_id,community_size
HEATON MOOR MEDICAL GROUP,21,2195366.78,104541.27523809524,0.0476190476190476,-0.1128523677410455,0.0476190476190476,False,66.63773148148148,Medium,,
FOUNDATION OF NURSING STUDIES,8,1878485.0,234810.625,0.0,-0.0526539835273739,0.125,False,66.60397376543209,Medium,,
INSTITUTE FOR HEALTHCARE IMPROVEMENT,11,853878.444031,77625.31309372728,0.0,-0.0838153528399731,0.1818181818181818,False,66.5991512345679,Medium,0.0,590.0
ELSDALE STREET CLINIC,16,1579552.5,98722.03125,0.0625,-0.1178932386944865,0.0625,False,66.57021604938271,Medium,,
KINGSTON AND RICHMOND NHS FOUNDATION TRUST,15,2463302.21,164220.14733333333,0.0666666666666666,-0.1307998876575118,0.1333333333333333,False,66.55574845679013,Medium,,
BROOKSIDE GROUP PRACTICE,17,715233.27,42072.54529411765,0.1176470588235294,-0.0888448244545603,0.0,False,66.55092592592592,Medium,,
NORTH NOTTINGHAM LIFT CO LTD,10,1191671.19,119167.119,0.0,-0.0886523252200656,0.2,False,66.55092592592592,Medium,,
ABBEY MEAD SURGERY,13,826887.33,63606.71769230769,0.1538461538461538,-0.0911152973632426,0.0,False,66.47376543209876,Medium,,
HKS CONSULTANCY GROUP LTD (HEALTHCARE & INDUSTRAIL),9,26725.87,2969.541111111111,0.0,-0.0932114000542235,0.2222222222222222,False,66.46894290123457,Medium,,
ST JOHNS WOOD MEDICAL PRACTICE,25,2733061.4,109322.456,0.04,-0.1267005378110106,0.12,False,66.44965277777777,Medium,,
STIRCHLEY MEDICAL PRACTICE,9,399192.36,44354.706666666665,0.0,-0.0443603768059882,0.1111111111111111,False,66.42554012345678,Medium,3.0,221.0
DR PLANA F & PARTNER,16,1449487.41,90592.963125,0.0625,-0.1296100973699833,0.125,False,66.42554012345678,Medium,,
